FECHA_OPERACION,VENTA,VENTA_FORE,FORE_LOWER,FORE_UPPER
2023-11-11,345735.25,345735.25,345735.25,345735.25
2023-11-12,390332.22,390332.21875,390332.21875,390332.21875
2023-11-13,431621.4,431621.40625,431621.40625,431621.40625
2023-11-14,563812.94,563812.9375,563812.9375,563812.9375
2023-11-15,541004.0,541004.0,541004.0,541004.0
2023-11-16,464668.47,464668.46875,464668.46875,464668.46875
2023-11-17,619538.6,619538.625,619538.625,619538.625
2023-11-18,350638.72,350638.71875,350638.71875,350638.71875
2023-11-19,254120.42,254120.421875,254120.421875,254120.421875
2023-11-20,537953.7,537953.6875,537953.6875,537953.6875
2023-11-21,430644.25,430644.25,430644.25,430644.25
2023-11-22,402184.72,402184.71875,402184.71875,402184.71875
2023-11-23,441342.0,441342.0,441342.0,441342.0
2023-11-24,368286.47,368286.46875,368286.46875,368286.46875
2023-11-25,303301.0,303301.0,303301.0,303301.0
2023-11-26,288651.0,288651.0,288651.0,288651.0
2023-11-27,344629.2,344629.1875,344629.1875,344629.1875
2023-11-28,327113.12,327113.125,327113.125,327113.125
2023-11-29,379006.22,379006.21875,379006.21875,379006.21875
2023-11-30,379538.97,379538.96875,379538.96875,379538.96875
2023-12-01,383646.4,383646.40625,383646.40625,383646.40625
2023-12-02,297658.6,297658.59375,297658.59375,297658.59375
2023-12-03,243144.14,243144.140625,243144.140625,243144.140625
2023-12-04,330061.78,330061.78125,330061.78125,330061.78125
2023-12-05,309059.25,309059.25,309059.25,309059.25
2023-12-06,370154.78,370154.78125,370154.78125,370154.78125
2023-12-07,296162.7,296162.6875,296162.6875,296162.6875
2023-12-08,359003.1,359003.09375,359003.09375,359003.09375
2023-12-09,349594.56,349594.5625,349594.5625,349594.5625
2023-12-10,292107.03,292107.03125,292107.03125,292107.03125
2023-12-11,348149.72,348149.71875,348149.71875,348149.71875
2023-12-12,332665.38,332665.375,332665.375,332665.375
2023-12-13,207002.95,207002.953125,207002.953125,207002.953125
2023-12-14,726751.0,726751.0,726751.0,726751.0
2023-12-15,538544.5,538544.5,538544.5,538544.5
2023-12-16,439162.03,439162.03125,439162.03125,439162.03125
2023-12-17,405482.66,405482.65625,405482.65625,405482.65625
2023-12-18,643963.3,643963.3125,643963.3125,643963.3125
2023-12-19,465383.47,465383.46875,465383.46875,465383.46875
2023-12-20,529286.6,529286.625,529286.625,529286.625
2023-12-21,425244.44,425244.4375,425244.4375,425244.4375
2023-12-22,452348.5,452348.5,452348.5,452348.5
2023-12-23,356121.2,356121.1875,356121.1875,356121.1875
2023-12-24,201641.0,201641.0,201641.0,201641.0
2023-12-25,331967.94,331967.9375,331967.9375,331967.9375
2023-12-26,547809.1,547809.125,547809.125,547809.125
2023-12-27,535096.6,535096.625,535096.625,535096.625
2023-12-28,442902.62,442902.625,442902.625,442902.625
2023-12-29,315860.53,315860.53125,315860.53125,315860.53125
2023-12-30,386004.97,386004.96875,386004.96875,386004.96875
2023-12-31,264195.5,264195.5,264195.5,264195.5
2024-01-01,437638.6,437638.59375,437638.59375,437638.59375
2024-01-02,576284.75,576284.75,576284.75,576284.75
2024-01-03,420139.0,420139.0,420139.0,420139.0
2024-01-04,412004.16,412004.15625,412004.15625,412004.15625
2024-01-05,338769.94,338769.9375,338769.9375,338769.9375
2024-01-06,383539.34,383539.34375,383539.34375,383539.34375
2024-01-07,424697.47,424697.46875,424697.46875,424697.46875
2024-01-08,324573.16,324573.15625,324573.15625,324573.15625
2024-01-09,258443.84,258443.84375,258443.84375,258443.84375
2024-01-10,266961.66,266961.65625,266961.65625,266961.65625
2024-01-11,262073.83,262073.828125,262073.828125,262073.828125
2024-01-12,341532.97,341532.96875,341532.96875,341532.96875
2024-01-13,257950.81,257950.8125,257950.8125,257950.8125
2024-01-14,250460.1,250460.09375,250460.09375,250460.09375
2024-01-15,345181.97,345181.96875,345181.96875,345181.96875
2024-01-16,309401.4,309401.40625,309401.40625,309401.40625
2024-01-17,245330.2,245330.203125,245330.203125,245330.203125
2024-01-18,336185.03,336185.03125,336185.03125,336185.03125
2024-01-19,300676.38,300676.375,300676.375,300676.375
2024-01-20,237056.94,237056.9375,237056.9375,237056.9375
2024-01-21,245824.61,245824.609375,245824.609375,245824.609375
2024-01-22,302510.5,302510.5,302510.5,302510.5
2024-01-23,296458.4,296458.40625,296458.40625,296458.40625
2024-01-24,279198.3,279198.3125,279198.3125,279198.3125
2024-01-25,278493.6,278493.59375,278493.59375,278493.59375
2024-01-26,307906.47,307906.46875,307906.46875,307906.46875
2024-01-27,270059.06,270059.0625,270059.0625,270059.0625
2024-01-28,200217.69,200217.6875,200217.6875,200217.6875
2024-01-29,218692.11,218692.109375,218692.109375,218692.109375
2024-01-30,287012.44,287012.4375,287012.4375,287012.4375
2024-01-31,261542.66,261542.65625,261542.65625,261542.65625
2024-02-01,373328.66,373328.65625,373328.65625,373328.65625
2024-02-02,382162.1,382162.09375,382162.09375,382162.09375
2024-02-03,271726.66,271726.65625,271726.65625,271726.65625
2024-02-04,291019.12,291019.125,291019.125,291019.125
2024-02-05,322979.94,322979.9375,322979.9375,322979.9375
2024-02-06,240270.2,240270.203125,240270.203125,240270.203125
2024-02-07,276756.1,276756.09375,276756.09375,276756.09375
2024-02-08,347925.47,347925.46875,347925.46875,347925.46875
2024-02-09,256550.23,256550.234375,256550.234375,256550.234375
2024-02-10,216184.44,216184.4375,216184.4375,216184.4375
2024-02-11,243989.67,243989.671875,243989.671875,243989.671875
2024-02-12,359067.9,359067.90625,359067.90625,359067.90625
2024-02-13,238322.81,238322.8125,238322.8125,238322.8125
2024-02-14,323095.56,323095.5625,323095.5625,323095.5625
2024-02-15,363917.53,363917.53125,363917.53125,363917.53125
2024-02-16,335718.12,335718.125,335718.125,335718.125
2024-02-17,197385.31,197385.3125,197385.3125,197385.3125
2024-02-18,255936.67,255936.671875,255936.671875,255936.671875
2024-02-19,281784.1,281784.09375,281784.09375,281784.09375
2024-02-20,290615.1,290615.09375,290615.09375,290615.09375
2024-02-21,347203.78,347203.78125,347203.78125,347203.78125
2024-02-22,395925.7,395925.6875,395925.6875,395925.6875
2024-02-23,376241.4,376241.40625,376241.40625,376241.40625
2024-02-24,229453.16,229453.15625,229453.15625,229453.15625
2024-02-25,311301.66,311301.65625,311301.65625,311301.65625
2024-02-26,377108.97,377108.96875,377108.96875,377108.96875
2024-02-27,248051.64,248051.640625,248051.640625,248051.640625
2024-02-28,273112.44,273112.4375,273112.4375,273112.4375
2024-02-29,372560.06,372560.0625,372560.0625,372560.0625
2024-03-01,423150.56,423150.5625,423150.5625,423150.5625
2024-03-02,231550.0,231550.0,231550.0,231550.0
2024-03-03,238032.1,238032.09375,238032.09375,238032.09375
2024-03-04,370979.75,370979.75,370979.75,370979.75
2024-03-05,353403.6,353403.59375,353403.59375,353403.59375
2024-03-06,285757.2,285757.1875,285757.1875,285757.1875
2024-03-07,324699.4,324699.40625,324699.40625,324699.40625
2024-03-08,301183.03,301183.03125,301183.03125,301183.03125
2024-03-09,253083.73,253083.734375,253083.734375,253083.734375
